  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                             Function                                                                                 FunctionSignature                                                                       
0x7fca05fa8900            317             76   4.17    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_avx2_unaligned_erms_rtm                                                         __memset_avx2_unaligned_erms_rtm                                                        
0x7fca05fa8880            445             68   6.54    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_avx2_unaligned_rtm                                                              __memset_avx2_unaligned_rtm                                                             
0x7fca05fa1070            460             75   6.13    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_chk_avx2_unaligned                                                              __memset_chk_avx2_unaligned                                                             
0x7fca05fa10e0            348             85   4.09    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_chk_avx2_unaligned_erms                                                         __memset_chk_avx2_unaligned_erms                                                        
0x7fca05fa88e0            349             81   4.31    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_chk_avx2_unaligned_erms_rtm                                                     __memset_chk_avx2_unaligned_erms_rtm                                                    
0x7fca05fa8870            461             72   6.40    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_chk_avx2_unaligned_rtm                                                          __memset_chk_avx2_unaligned_rtm                                                         
0x7fca05ec5020             45             15   3.00    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_chk_erms                                                                        __memset_chk_erms                                                                       
0x7fca05ec4fd0            425             64   6.64    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_chk_sse2_unaligned                                                              __memset_chk_sse2_unaligned                                                             
0x7fca05ec5050            297             75   3.96    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_chk_sse2_unaligned_erms                                                         __memset_chk_sse2_unaligned_erms                                                        
0x7fca05ec5030             29             11   2.64    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_erms                                                                            __memset_erms                                                                           
0x7fca05ec4fe0            409             60   6.82    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_sse2_unaligned                                                                  __memset_sse2_unaligned                                                                 
0x7fca05ec5080            249             68   3.66    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __memset_sse2_unaligned_erms                                                             __memset_sse2_unaligned_erms                                                            
0x7fca05fa1050            492             73   6.74    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __wmemset_avx2_unaligned                                                                 __wmemset_avx2_unaligned                                                                
0x7fca05fa8850            493             70   7.04    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __wmemset_avx2_unaligned_rtm                                                             __wmemset_avx2_unaligned_rtm                                                            
0x7fca05fa1040            508             77   6.60    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __wmemset_chk_avx2_unaligned                                                             __wmemset_chk_avx2_unaligned                                                            
0x7fca05fa8840            509             74   6.88    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __wmemset_chk_avx2_unaligned_rtm                                                         __wmemset_chk_avx2_unaligned_rtm                                                        
0x7fca05ec4fa0            473             64   7.39    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __wmemset_chk_sse2_unaligned                                                             __wmemset_chk_sse2_unaligned                                                            
0x7fca05ec4fb0            457             60   7.62    local    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            __wmemset_sse2_unaligned                                                                 __wmemset_sse2_unaligned                                                                
0x7fca05ec4f80            505             60   8.42   global    default ../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S            bzero                                                                                    bzero                                                                                   
0x7fca05ec2960           6046            974   6.21    local    default ../sysdeps/x86_64/multiarch/strcat-sse2-unaligned.S                __strcat_sse2_unaligned                                                                  __strcat_sse2_unaligned                                                                 
