  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                   Function                                                                                 FunctionSignature                                                                       
0x7114049a4360            292             85   3.44  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::relative                                                                std::filesystem::relative                                                               
0x7114048b6770             44             10   4.40  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::relative.cold                                                           std::filesystem::relative.cold                                                          
0x71140499f4d0            227             72   3.15  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::remove_all                                                              std::filesystem::remove_all                                                             
0x7114048b5b25            160             37   4.32  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::remove_all.cold                                                         std::filesystem::remove_all.cold                                                        
0x71140499f8e0            335            129   2.60  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::temp_directory_path                                                     std::filesystem::temp_directory_path                                                    
0x7114049a0450            672            181   3.71  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::temp_directory_path                                                     std::filesystem::temp_directory_path                                                    
0x7114048b5f5e            175             37   4.73  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::temp_directory_path.cold                                                std::filesystem::temp_directory_path.cold                                               
0x7114048b6348             24              6   4.00  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::temp_directory_path.cold                                                std::filesystem::temp_directory_path.cold                                               
0x7114049a3be0           1606            383   4.19  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::weakly_canonical                                                        std::filesystem::weakly_canonical                                                       
0x7114049a4490           2741            608   4.51  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::weakly_canonical                                                        std::filesystem::weakly_canonical                                                       
0x7114048b66ee             59             13   4.54  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::weakly_canonical.cold                                                   std::filesystem::weakly_canonical.cold                                                  
0x7114048b679c             64             13   4.92  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_ops.cc                      std::filesystem::weakly_canonical.cold                                                   std::filesystem::weakly_canonical.cold                                                  
0x7114049ac850            444            119   3.73  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::filesystem_error::filesystem_error                                      std::filesystem::filesystem_error::filesystem_error                                     
0x7114049acec0            369            112   3.29  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::filesystem_error::filesystem_error                                      std::filesystem::filesystem_error::filesystem_error                                     
0x7114049ad040            505            141   3.58  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::filesystem_error::filesystem_error                                      std::filesystem::filesystem_error::filesystem_error                                     
0x7114048b6e6a             91             20   4.55  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::filesystem_error::filesystem_error.cold                                 std::filesystem::filesystem_error::filesystem_error.cold                                
0x7114048b6ff4             34              8   4.25  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::filesystem_error::filesystem_error.cold                                 std::filesystem::filesystem_error::filesystem_error.cold                                
0x7114048b7040             34              8   4.25  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::filesystem_error::filesystem_error.cold                                 std::filesystem::filesystem_error::filesystem_error.cold                                
0x7114049a9a10           1108            290   3.82  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::_List::operator=                                                  std::filesystem::path::_List::operator=                                                 
0x7114048b6a88             56             13   4.31  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::_List::operator=.cold                                             std::filesystem::path::_List::operator=.cold                                            
