  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                                   Function                                                                                 FunctionSignature                                                                       
0x1499d7893159             66             16   4.12  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::copy.cold                                                               std::filesystem::copy.cold                                                              
0x1499d7962810           3063            683   4.48  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::copy.localalias                                                         std::filesystem::copy.localalias                                                        
0x1499d7963c10           2649            526   5.04  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::create_directories                                                      std::filesystem::create_directories                                                     
0x1499d789327c             26              6   4.33  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::create_directories.cold                                                 std::filesystem::create_directories.cold                                                
0x1499d7961ab0            549            144   3.81  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::current_path[abi:cxx11]                                                 std::filesystem::current_path[abi:cxx11]                                                
0x1499d7892f24             51             12   4.25  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::current_path[abi:cxx11].cold                                            std::filesystem::current_path[abi:cxx11].cold                                           
0x1499d7961f70           2037            446   4.57  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::do_copy_file                                                            std::filesystem::do_copy_file                                                           
0x1499d789309a         849611             45 18880.24  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::do_copy_file.cold                                                       std::filesystem::do_copy_file.cold                                                      
0x1499d79668b0            196             62   3.16  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate                                                               std::filesystem::proximate                                                              
0x1499d79674b0            632            160   3.95  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate                                                               std::filesystem::proximate                                                              
0x1499d78935b3             44             10   4.40  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
0x1499d789365f             62             14   4.43  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
0x1499d7961550           1090            257   4.24  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::read_symlink                                                            std::filesystem::read_symlink                                                           
0x1499d7892dd5             55             13   4.23  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::read_symlink.cold                                                       std::filesystem::read_symlink.cold                                                      
0x1499d7966980            196             62   3.16  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::relative                                                                std::filesystem::relative                                                               
0x1499d78935df             44             10   4.40  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::relative.cold                                                           std::filesystem::relative.cold                                                          
0x1499d7960800            227             72   3.15  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::remove_all                                                              std::filesystem::remove_all                                                             
0x1499d789280c            154             36   4.28  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::remove_all.cold                                                         std::filesystem::remove_all.cold                                                        
0x1499d7961370            397            105   3.78  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::temp_directory_path[abi:cxx11]                                          std::filesystem::temp_directory_path[abi:cxx11]                                         
