"Domain","Function","Process_Id","Thread_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"HSA_CORE_API","hsa_executable_symbol_get_info",11789,11789,470,3271051874339,3271051874359
"HSA_CORE_API","hsa_executable_iterate_symbols",11789,11789,454,3271051868638,3271051874509
"HSA_CORE_API","hsa_system_get_info",11789,11789,471,3271051882654,3271051882755
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,472,3271051884688,3271051885139
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,473,3271051885590,3271051885780
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,474,3271051886091,3271051886141
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,475,3271051886421,3271051886472
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,476,3271051886742,3271051886782
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,477,3271051887053,3271051887093
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,478,3271051887443,3271051887494
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,479,3271051887794,3271051887844
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,480,3271051888115,3271051888155
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,481,3271051888445,3271051888495
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,482,3271051888766,3271051888896
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,483,3271051889307,3271051889357
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,484,3271051889658,3271051889698
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,485,3271051889988,3271051890038
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,486,3271051890299,3271051890359
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,487,3271051890780,3271051890830
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,488,3271051891180,3271051891231
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,489,3271051891491,3271051891541
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,490,3271051891822,3271051891862
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,491,3271051892132,3271051892182
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,492,3271051892483,3271051892523
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,493,3271051892824,3271051892864
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,494,3271051893134,3271051893174
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,495,3271051893465,3271051893515
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,496,3271051893835,3271051893906
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,497,3271051894246,3271051894296
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,498,3271051894567,3271051894617
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,499,3271051894907,3271051894948
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,500,3271051895218,3271051895258
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,501,3271051895569,3271051895619
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,502,3271051895889,3271051895929
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,503,3271051896200,3271051896240
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,504,3271051896510,3271051896561
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,505,3271051896821,3271051896911
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,506,3271051897182,3271051897222
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,507,3271051897492,3271051897532
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,508,3271051897803,3271051897853
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,509,3271051898114,3271051898164
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,510,3271051898454,3271051898504
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,511,3271051898775,3271051898815
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,512,3271051899085,3271051899125
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,513,3271051899556,3271051899596
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,514,3271051899867,3271051899917
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,515,3271051900197,3271051900248
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,516,3271051900558,3271051900608
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,517,3271051900929,3271051900969
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,518,3271051901249,3271051901300
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,519,3271051901570,3271051901620
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,520,3271051901881,3271051901931
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,521,3271051902201,3271051902271
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,522,3271051902532,3271051902582
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,523,3271051902852,3271051902893
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,524,3271051903163,3271051903213
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,525,3271051903474,3271051903524
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,526,3271051903904,3271051903944
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,527,3271051904215,3271051904265
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,528,3271051904536,3271051904576
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,529,3271051904846,3271051904886
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,530,3271051905167,3271051905227
"HSA_AMD_EXT_API","hsa_amd_signal_create",11789,11789,531,3271051905487,3271051905537
