"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
1170,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1402,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590877496,2919590886229,2919590902139,2919590905098,15910
1171,"__amd_rocclr_copyBufferRectAligned.kd",1,3,464,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590889569,2919590897691,2919590906227,2919590909797,8536
1172,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1405,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590922882,2919590930994,2919590951593,2919590954842,20599
1173,"__amd_rocclr_copyBufferRectAligned.kd",1,3,465,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590934794,2919590941414,2919590955640,2919590962977,14226
1174,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1407,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919590969139,2919590977421,2919590995656,2919591001801,18235
1175,"__amd_rocclr_copyBufferRectAligned.kd",1,0,232,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919590983166,2919590990566,2919591004352,2919591005578,13786
1176,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1409,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591011880,2919591019711,2919591034018,2919591037678,14307
1177,"__amd_rocclr_copyBufferRectAligned.kd",1,1,238,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591025856,2919591033617,2919591049768,2919591051965,16151
1178,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1411,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591047477,2919591054377,2919591068844,2919591068777,14467
1179,"__amd_rocclr_copyBufferRectAligned.kd",1,2,1413,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591061794,2919591076098,2919591086838,2919591088384,10740
1180,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1414,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591083815,2919591090765,2919591103509,2919591103532,12744
1181,"__amd_rocclr_copyBufferRectAligned.kd",1,3,468,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591096269,2919591103950,2919591117496,2919591118110,13546
1182,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1417,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591127237,2919591135409,2919591147592,2919591148988,12183
1183,"__amd_rocclr_copyBufferRectAligned.kd",1,3,469,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591144760,2919591155527,2919591165867,2919591165750,10340
1184,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1419,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591179165,2919591187428,2919591200051,2919591200235,12623
1185,"__amd_rocclr_copyBufferRectAligned.kd",1,0,234,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591191318,2919591202255,2919591215360,2919591215514,13105
1186,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1421,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591221094,2919591227623,2919591241730,2919591242495,14107
