"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
124,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,160,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084484291,14612084515700,14612084533012,14612084536740,17312
125,"__amd_rocclr_copyBufferRectAligned.kd",1,0,22,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084513195,14612084535858,14612084554092,14612084560855,18234
126,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,162,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084540427,14612084562668,14612084581744,14612084584931,19076
127,"__amd_rocclr_copyBufferRectAligned.kd",1,1,28,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084561106,14612084585191,14612084602624,14612084607413,17433
128,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,164,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084590571,14612084609797,14612084629154,14612084632320,19357
129,"__amd_rocclr_copyBufferRectAligned.kd",1,2,166,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084610349,14612084645945,14612084664701,14612084667246,18756
130,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,168,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084636638,14612084682494,14612084705057,14612084710988,22563
131,"__amd_rocclr_copyBufferRectAligned.kd",1,3,48,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084657698,14612084667907,14612084680330,14612084687915,12423
132,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,171,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612084676293,14612084732268,14612084750703,14612084756294,18435
133,"__amd_rocclr_copyBufferRectAligned.kd",1,3,50,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612084720116,14612084748258,14612084760562,14612084766613,12304
