"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
395,"__amd_rocclr_copyBufferRectAligned.kd",1,0,156,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115212265,11323115218506,11323115228325,11323115228435,9819
396,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,163,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115226532,11323115231290,11323115245397,11323115245798,14107
397,"__amd_rocclr_copyBufferRectAligned.kd",1,1,156,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115255847,11323115262059,11323115270635,11323115271086,8576
398,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,312,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115269232,11323115273881,11323115289871,11323115290052,15990
399,"__amd_rocclr_copyBufferRectAligned.kd",1,2,165,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115298017,11323115304178,11323115313035,11323115313226,8857
400,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,314,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115310200,11323115314999,11323115328424,11323115328545,13425
401,"__amd_rocclr_copyBufferRectAligned.kd",1,3,316,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115338483,11323115344675,11323115353491,11323115354053,8816
402,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,158,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115351227,11323115356016,11323115370123,11323115370293,14107
403,"__amd_rocclr_copyBufferRectAligned.kd",1,3,318,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115379471,11323115385772,11323115394349,11323115394830,8577
404,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,158,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115391073,11323115396392,11323115410940,11323115411351,14548
405,"__amd_rocclr_copyBufferRectAligned.kd",1,0,160,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115419917,11323115426269,11323115434965,11323115435306,8696
406,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,167,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115434074,11323115439173,11323115453881,11323115454012,14708
407,"__amd_rocclr_copyBufferRectAligned.kd",1,1,160,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115463189,11323115469320,11323115477897,11323115478298,8577
408,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,320,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115475472,11323115480782,11323115496892,11323115497143,16110
409,"__amd_rocclr_copyBufferRectAligned.kd",1,2,169,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115504808,11323115509677,11323115519295,11323115519716,9618
410,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,322,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115518514,11323115523342,11323115536087,11323115536297,12745
411,"__amd_rocclr_copyBufferRectAligned.kd",1,3,324,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115549743,11323115555854,11323115564470,11323115566705,8616
412,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,162,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115558660,11323115565312,11323115582104,11323115582274,16792
413,"__amd_rocclr_copyBufferRectAligned.kd",1,3,326,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115590420,11323115596561,11323115605337,11323115606209,8776
414,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,162,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115604867,11323115609826,11323115622891,11323115623322,13065
415,"__amd_rocclr_copyBufferRectAligned.kd",1,0,164,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115634242,11323115640334,11323115649030,11323115649832,8696
416,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,171,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115646957,11323115652116,11323115666503,11323115666874,14387
417,"__amd_rocclr_copyBufferRectAligned.kd",1,1,164,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115675671,11323115681962,11323115690739,11323115691230,8777
418,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,328,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115689096,11323115693825,11323115709094,11323115709264,15269
419,"__amd_rocclr_copyBufferRectAligned.kd",1,2,173,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323115717740,11323115723902,11323115732999,11323115733270,9097
420,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,330,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323115730645,11323115735804,11323115749029,11323115749180,13225
